event,type,red1,red2,red3,redFinal,redFoul,redAuto,redTeleop,blue1,blue2,blue3,blueFinal,blueFoul,blueAuto,blueTeleop
MICMP,Q,326,4325,4384,113,0,39,54,3641,3539,1718,127,0,65,42
MDBA,Q,1719,2849,2963,49,0,19,30,1699,3714,4067,64,0,34,30
MRCMP,Q,1923,486,75,55,3,22,0,4475,2590,1672,123,9,52,52
MICMP,Q,2612,469,217,206,23,107,66,3234,910,2474,78,0,14,54
MDBA,Q,1895,3748,128,99,0,49,30,4464,3389,2640,34,0,18,6
MICMP,Q,1189,4130,2959,170,0,96,54,1918,3414,1023,181,0,71,60
MRCMP,Q,433,4575,3314,95,3,42,30,357,193,225,123,0,75,18
MDBA,Q,623,1086,3455,76,0,26,30,3373,53,2537,49,0,15,24
MICMP,Q,2337,3421,3688,140,0,80,30,857,27,2611,92,0,46,36
MRCMP,Q,816,869,103,127,0,45,42,303,11,224,141,3,60,48
MDBA,Q,3419,4514,250,83,3,24,36,2534,2377,1559,93,0,21,42
MRCMP,Q,3974,2607,2495,61,0,33,28,4460,1881,56,84,0,36,28
MICMP,Q,2054,3572,503,171,3,86,42,1504,2771,2619,135,0,75,30
MDBA,Q,4288,365,4456,97,0,35,42,768,449,329,109,0,75,24
MRCMP,Q,1676,1640,2729,140,0,78,42,4285,3340,1403,91,0,45,16
MICMP,Q,548,314,2834,93,0,63,30,2145,51,2851,150,0,66,54
MDBA,Q,2819,2638,2866,63,0,19,24,4266,686,1885,87,0,15,42
MRCMP,Q,1370,4342,484,98,0,48,30,223,1391,1228,92,3,51,18
MICMP,Q,3618,4381,4391,102,0,68,24,245,862,2000,210,0,126,54
MDBA,Q,2421,1708,45,95,0,49,36,2028,3941,3793,44,0,20,24
MRCMP,Q,1923,2539,2559,114,0,54,30,433,11,316,122,3,69,30
MICMP,Q,573,68,2673,142,0,70,42,1701,33,2960,150,3,63,54
MDBA,Q,375,2528,3150,88,23,17,18,3650,2172,4122,86,0,26,30
MRCMP,Q,303,1672,4575,138,6,78,34,1143,1218,224,112,6,56,30
MICMP,Q,1684,107,494,151,0,83,48,2137,2767,3656,149,0,117,12
MDBA,Q,87,2546,2199,43,0,29,14,4099,238,4505,33,0,13,20
MRCMP,Q,56,816,714,85,3,24,48,2729,3314,272,113,3,54,36
MDBA,Q,3373,449,128,81,3,26,42,3283,888,4514,35,0,7,18
MDBA,Q,122,2963,365,30,0,18,12,2641,2819,686,54,0,4,30
MDBA,Q,3419,4541,3455,91,3,18,30,4050,768,1708,71,0,33,18
MDBA,Q,4456,1111,3793,43,0,11,12,2640,1719,375,47,0,17,30
MICMP,Q,141,280,3602,124,0,46,48,67,70,3604,226,3,123,60
MICMP,Q,2619,469,1025,187,3,90,54,1023,2834,858,98,0,24,54
MICMP,Q,2959,4381,3234,129,0,61,48,51,3421,910,84,0,62,12
MICMP,Q,4384,857,2673,160,0,92,48,4391,326,3572,174,0,98,36
MICMP,Q,68,494,2474,133,0,63,60,27,2000,2851,160,0,96,54
MRCMP,Q,2607,225,1391,101,0,69,12,4475,4285,1640,83,6,31,36
MICMP,Q,141,314,2145,175,20,81,54,3656,107,3414,120,0,42,48
MRCMP,Q,357,1626,223,58,0,32,6,2495,293,193,111,0,65,36
MICMP,Q,1684,1504,4325,155,0,77,48,217,1701,3618,125,0,69,36
MRCMP,Q,3340,1676,316,85,0,39,16,103,1089,3974,125,3,50,42
MICMP,Q,1918,67,33,247,3,132,72,123,2137,3688,70,0,48,12
MDBA,Q,2912,4266,2528,51,0,3,8,4288,1559,3748,76,0,6,30
MRCMP,Q,75,1302,1370,78,0,24,24,4460,4342,486,85,3,30,22
MICMP,Q,2054,3539,2960,117,6,51,30,4130,1025,4377,108,0,46,22
