event,type,red1,red2,red3,redFinal,redFoul,redAuto,redTeleop,blue1,blue2,blue3,blueFinal,blueFoul,blueAuto,blueTeleop
ILCH,Q,2115,4645,1850,15,0,3,12,2704,4241,677,43,0,3,30
ARFA,Q,1810,3784,4553,50,6,6,8,4849,1730,2410,40,0,24,6
MELE,Q,4041,1831,4546,58,0,10,28,176,348,319,104,6,54,24
ABCA,Q,4604,3354,4205,6,0,2,4,4591,4771,4001,84,23,33,18
INTH,Q,4103,1208,4143,129,20,47,12,1501,2909,4028,85,0,65,0
CASJ,Q,1351,2473,3256,17,3,4,0,2915,1388,2489,77,0,3,34
WACH,Q,3681,4520,4104,42,0,16,16,1696,3693,1899,62,0,44,18
NVLV,Q,1780,4782,25,35,0,17,18,2520,341,4276,40,0,8,22
CODE,Q,1977,701,4388,128,0,48,30,3200,2036,2240,74,0,32,12
ILCH,Q,648,4324,3695,86,26,12,18,2432,4702,2709,31,0,11,0
HIHO,Q,3721,2465,4158,43,0,17,26,1622,2455,2348,92,18,34,30
NYLI,Q,4006,1751,884,22,0,2,0,545,1156,2638,75,0,15,40
MIBED,Q,33,815,1250,131,0,45,66,4381,247,66,114,3,39,42
ARFA,Q,1477,1912,1927,121,3,46,72,456,2080,4535,71,3,40,18
MELE,Q,2200,63,3585,35,3,4,8,3930,181,58,105,23,32,30
ABCA,Q,4627,4633,4334,20,0,4,6,4606,3278,4497,56,26,8,12
CODE,Q,1584,1583,3807,65,26,9,0,3648,3703,4072,24,0,6,18
INTH,Q,4781,3201,3492,54,0,28,6,4329,2081,1646,32,0,2,0
ILCH,Q,71,2010,3646,24,0,6,18,1675,2338,3061,103,3,66,24
NYLI,Q,514,1230,1808,50,0,26,14,329,263,564,61,0,33,18
MIBED,Q,3536,2959,3302,122,0,56,36,4398,326,503,93,0,59,24
ARFA,Q,3528,4487,3593,126,0,68,38,4037,3507,4843,61,0,27,24
MELE,Q,157,4473,1058,85,0,41,24,1153,1922,2386,128,0,80,38
CODE,Q,4499,2169,2259,80,3,39,18,4068,1303,1157,37,0,27,0
INTH,Q,1720,4272,1756,133,0,93,30,1024,1288,2202,147,0,91,36
HIHO,Q,4218,2439,2853,6,3,3,0,4529,4537,3878,22,0,12,0
ILCH,Q,2136,3110,2451,30,0,30,0,2512,3488,1739,94,0,76,18
MIBED,Q,302,2337,4776,33,3,18,12,573,910,3770,71,0,43,18
ABCA,Q,216,1334,4771,85,0,39,36,1691,4604,1482,39,0,13,6
NYLI,Q,1546,358,3171,86,0,32,4,3950,1203,4856,15,0,5,0
ARFA,Q,4490,3847,3937,76,0,42,24,3160,3942,4090,53,0,7,6
ILCH,Q,2905,2022,3936,14,0,0,4,3135,1625,4292,80,0,26,24
MELE,Q,125,4793,3597,42,3,11,18,4042,2648,1831,64,0,0,24
INTH,Q,447,930,4330,149,0,75,54,3844,279,2481,83,0,25,18
CODE,Q,4723,2945,662,5,0,3,2,1332,3729,2275,15,0,3,12
HIHO,Q,4774,3880,2453,9,0,9,0,3881,2438,4374,12,0,2,0
NYLI,Q,870,369,353,87,0,33,24,2347,1601,533,30,0,0,20
ABCA,Q,4625,3278,4591,13,3,0,0,4001,3354,244,56,0,28,18
MIBED,Q,313,4390,904,48,0,14,24,2246,1023,3707,93,0,35,18
ARFA,Q,2333,1730,4477,37,3,12,12,4848,4577,1764,31,0,9,12
ILCH,Q,101,3352,3197,50,0,16,24,2151,3177,2039,42,0,18,14
MELE,Q,78,3525,319,98,20,46,22,3451,348,716,67,0,45,12
CODE,Q,2036,2083,4550,42,3,13,6,4593,2972,4386,31,0,9,12
INTH,Q,3138,1741,3947,103,3,38,42,1018,292,3559,86,0,32,24
NYLI,Q,2875,4458,569,149,20,53,36,1537,1468,4567,38,0,16,12
MIBED,Q,85,4755,3357,98,0,50,8,308,1684,470,127,0,69,28
ABCA,Q,4633,4733,4719,10,0,0,0,4334,1772,3527,56,3,21,12
ARFA,Q,1912,4745,4553,65,0,27,18,1421,1723,1810,133,23,20,10
ILCH,Q,4081,2358,2725,24,0,6,18,2194,2781,4551,61,0,19,22
HIHO,Q,2477,2896,3008,0,0,0,0,2445,3685,3882,23,0,13,0
CODE,Q,1789,1799,701,55,0,27,18,1339,2261,3403,34,0,0,24
MELE,Q,4041,58,69,119,0,51,48,3467,1058,1073,79,0,27,12
INTH,Q,3186,1208,1529,41,0,3,18,1094,4008,4690,65,0,27,18
NYLI,Q,527,3137,1607,55,0,15,30,2027,601,28,88,0,50,18
ILCH,Q,4302,4096,3067,71,3,24,14,4676,2803,1091,31,0,17,4
MIBED,Q,3175,1701,469,129,3,54,42,4294,3547,4811,77,3,22,12
ARFA,Q,4463,3528,1939,109,3,60,36,3593,4532,16,74,0,44,20
MELE,Q,4555,2386,4546,50,0,2,18,1071,4564,2200,88,20,10,38
CODE,Q,3884,1361,1245,32,0,14,8,3200,3013,4388,66,6,2,18
ABCA,Q,771,4751,1870,13,0,3,0,4720,4205,4627,37,0,9,8
INTH,Q,1646,1720,3492,72,12,36,24,2909,4058,1756,63,0,47,6
ILCH,Q,2022,3390,111,59,3,6,30,2432,3940,1781,63,0,21,22
MIBED,Q,573,815,240,109,0,53,36,2246,3302,226,50,0,28,12
NYLI,Q,810,3624,2161,46,0,6,0,2869,871,2487,34,0,10,4
CODE,Q,2996,4581,1348,67,3,22,12,1619,2240,4293,0,0,0,0
ABCA,Q,1772,4634,4497,29,0,19,0,4591,288,1305,43,3,12,18
MIBED,Q,2959,308,3770,117,0,55,42,470,247,313,34,0,24,0
MELE,Q,133,1922,63,77,0,35,22,172,176,3609,94,3,33,28
ILCH,Q,3936,2039,71,102,6,18,28,2451,3177,4702,67,0,23,24
INTH,Q,2360,1501,3266,96,0,50,36,4329,3201,1288,84,0,44,30
NYLI,Q,1554,1156,1803,32,0,0,22,564,514,496,56,3,21,12
CODE,Q,4387,3643,159,0,0,0,0,1977,1011,1410,108,38,30,30
MIBED,Q,503,3175,4390,83,23,32,18,4395,1250,85,68,0,18,30
ABCA,Q,4633,1691,4720,0,0,0,0,4627,1482,4771,19,0,3,6
ILCH,Q,3646,4551,2704,2,0,2,0,2512,101,2905,85,0,57,18
ARFA,Q,3942,4037,2080,19,3,2,4,3284,2461,2410,209,132,17,30
INTH,Q,3844,1741,1706,249,0,79,150,279,3947,4272,62,3,17,32
CODE,Q,3729,1583,3403,51,0,9,12,2259,701,2972,110,0,54,36
NYLI,Q,2872,3460,569,70,0,28,2,353,3950,2638,79,0,29,30
MELE,Q,3585,181,3566,23,0,11,12,4473,4055,3930,65,6,37,12
MIBED,Q,3357,4381,302,71,6,21,24,4398,2337,904,41,0,23,18
ARFA,Q,2723,4090,456,27,0,5,12,2164,4487,3784,79,0,29,30
INTH,Q,4690,4211,2481,89,0,31,18,292,3138,4256,79,0,29,30
WACH,Q,2733,4131,3131,22,0,0,12,4513,4082,2660,3,0,3,0
NYLI,Q,2875,1203,329,101,20,41,30,4856,2347,352,12,0,2,0
MIBED,Q,4776,910,240,25,3,4,18,4811,33,4755,84,6,32,36
ILCH,Q,4787,3061,4081,42,0,24,18,2709,648,2358,59,0,9,30
MELE,Q,4555,3525,4042,50,0,12,18,1831,78,716,114,3,29,42
NVLV,Q,60,1661,987,43,0,33,10,1165,4403,3309,47,3,0,24
WACH,Q,3663,3801,3243,85,0,57,18,4742,2148,1595,36,0,18,18
ARFA,Q,1477,4535,3937,89,3,24,42,3612,3507,4849,62,0,24,8
NYLI,Q,1468,1546,3137,73,0,37,26,4567,369,4006,66,0,38,18
MIBED,Q,4294,1023,1684,129,0,65,24,3547,3707,469,162,0,72,60
MELE,Q,69,319,1153,122,0,60,42,172,58,133,99,6,27,36
ILCH,Q,4302,2781,2115,20,0,4,6,3695,2338,1850,49,3,36,0
INTH,Q,2171,447,2081,106,3,37,36,3559,4103,48,64,0,36,18
NVLV,Q,3366,2375,2429,27,0,3,14,2844,1717,2034,134,0,60,54
CASJ,Q,256,3995,100,37,3,14,10,295,2813,115,70,0,12,28
ARFA,Q,4577,4843,4490,74,43,1,0,1723,1927,3847,128,43,21,24
ILCH,Q,2803,2136,1675,0,0,0,0,111,2725,4645,69,0,35,24
NYLI,Q,3624,1751,496,35,0,5,0,1607,1808,2027,0,0,0,0
MIBED,Q,217,326,3536,97,0,57,30,66,226,1701,119,0,69,30
INTH,Q,4330,1024,868,143,0,77,36,4143,1038,4781,34,3,21,0
NVLV,Q,4036,3011,4366,0,0,0,0,3120,4183,4800,37,0,21,6
MELE,Q,3930,3585,157,67,3,20,24,125,3451,4041,56,0,18,18
WACH,Q,2374,2990,2411,61,0,25,6,4061,4520,3693,47,0,15,22
CASJ,Q,4255,3482,4047,0,0,0,0,2035,2854,2643,103,6,41,36
ARFA,Q,2164,2723,2333,14,0,2,12,4848,3942,4463,9,6,3,0
NYLI,Q,545,3171,533,48,0,0,18,871,1803,4458,35,0,5,20
MIBED,Q,4381,4811,470,14,0,4,0,573,247,2959,154,0,98,36
CASJ,Q,254,8,4186,112,3,39,30,604,118,2761,96,3,51,22
NVLV,Q,4735,597,3473,32,0,20,12,1631,3965,3187,45,6,15,4
ILCH,Q,4096,677,3940,48,0,6,12,2010,3110,3352,24,0,2,12
WACH,Q,2907,4513,1983,91,3,48,30,2733,3831,4125,40,0,12,18
MELE,Q,1071,4793,1922,38,0,18,0,4055,2200,3597,55,0,29,16
INTH,Q,4028,930,931,114,0,58,36,1018,234,4213,107,6,63,18
NYLI,Q,358,2487,263,53,23,0,0,810,1537,884,10,0,0,0
ARFA,Q,2410,3528,1912,113,0,63,30,4090,16,1421,112,3,53,16
WACH,Q,2944,2148,4104,3,0,3,0,3243,4371,2471,52,3,21,18
NVLV,Q,330,3009,4276,86,0,26,30,2984,3245,2339,39,0,9,0
ILCH,Q,4324,1739,1781,48,0,26,12,2151,4676,3135,39,6,15,8
MELE,Q,181,3609,1073,117,0,65,42,1058,4564,176,107,0,47,30
CASJ,Q,2144,233,766,109,3,46,30,3598,2085,3501,58,0,10,18
INTH,Q,1501,1529,2202,103,0,59,24,279,3494,337,89,20,19,0
MIBED,Q,1684,4398,3770,81,0,53,18,1023,4390,33,116,9,33,54
NYLI,Q,271,870,1601,25,0,7,18,601,1796,527,79,0,29,30
ARFA,Q,3284,456,3784,116,0,44,42,1939,4553,3593,126,0,66,30
CASJ,Q,2367,840,3933,77,0,21,36,4543,670,114,96,0,42,34
NVLV,Q,585,2403,3716,46,0,18,18,1280,341,988,31,0,11,0
ILCH,Q,3067,3197,2194,56,0,24,12,3390,3488,1625,45,0,29,6
WACH,Q,3131,2147,1595,101,0,43,48,4131,2122,3968,69,3,18,18
NYLI,Q,514,28,2869,116,0,66,30,569,2161,1230,49,0,25,4
MIBED,Q,904,85,217,118,9,57,12,302,3536,66,54,0,14,30
MELE,Q,2648,2386,63,69,6,27,26,4546,4473,348,54,0,26,18
INTH,Q,3138,4272,4058,45,0,27,18,4690,3844,3266,63,6,35,12
CASJ,Q,1868,649,581,77,3,14,30,3022,2135,692,12,0,0,12
WACH,Q,3789,2522,2926,19,0,3,6,2130,1695,3681,50,9,9,12
NVLV,Q,3510,2037,3288,0,0,0,0,1703,25,3019,47,3,18,6
ARFA,Q,4487,1730,3847,111,6,61,24,4535,1810,4037,60,0,6,24
ILCH,Q,3177,4551,4292,27,0,11,6,648,4241,1091,59,0,21,28
MIBED,Q,469,3302,1250,173,23,72,48,226,3175,313,52,3,21,18
NYLI,Q,4458,3950,369,100,20,36,24,3624,1203,564,43,3,0,0
CASJ,Q,2643,2915,971,120,0,54,46,1388,4171,1700,39,0,7,12
MELE,Q,716,125,3566,105,0,49,36,133,4793,3467,110,0,44,36
INTH,Q,1208,2481,1756,127,0,45,42,1706,2081,868,114,0,46,48
NVLV,Q,3366,1631,4792,37,0,5,22,1780,2429,4146,43,0,37,6
WACH,Q,1696,3145,4030,81,0,15,36,3315,1899,4082,19,0,9,0
ARFA,Q,3507,2080,4532,46,3,33,10,4477,3160,4745,50,20,4,6
ILCH,Q,4787,1675,4096,35,0,17,8,101,2781,2704,41,3,0,18
MIBED,Q,1701,3547,2246,71,20,9,32,4755,4395,910,10,0,10,0
NYLI,Q,545,2027,810,34,20,4,0,353,2872,4567,76,0,46,20
CODE,Q,1799,4388,3703,41,3,8,0,4499,3200,4593,35,0,9,6
CASJ,Q,751,1072,3995,28,0,8,20,4255,8,2473,2,0,2,0
MELE,Q,181,4555,1922,58,0,20,18,4041,78,176,116,20,54,32
NVLV,Q,4276,4366,60,41,0,15,16,987,3009,2375,99,0,55,24
WACH,Q,4371,2122,2660,24,0,12,12,3968,3243,3513,49,6,15,18
INTH,Q,3947,4256,234,111,0,39,42,1024,3186,48,100,0,54,36
NYLI,Q,1537,3171,329,64,0,26,18,601,1156,533,51,0,3,18
CODE,Q,3648,2240,1157,18,6,2,0,4723,1303,3884,8,0,8,0
CASJ,Q,2085,233,3482,50,26,6,8,1351,4047,148,46,0,26,0
ABCA,Q,1870,4625,216,43,0,15,18,4606,1305,4205,83,0,33,20
MELE,Q,2386,3597,4473,58,23,3,12,3930,3451,4546,9,0,5,4
NVLV,Q,2037,1661,3245,35,3,6,16,341,3716,1703,8,0,2,6
INTH,Q,1094,931,1018,111,12,33,36,4103,3492,4329,49,6,15,18
WACH,Q,3681,2471,4513,96,0,54,22,1595,3663,2990,127,9,72,36
CASJ,Q,4159,2144,1662,140,0,76,54,114,841,2489,59,3,6,30
NYLI,Q,2487,1546,1230,63,0,19,24,1468,870,1796,72,0,42,30
CODE,Q,1410,1361,2169,74,3,37,24,4550,4387,1332,37,0,21,6
ABCA,Q,1334,771,244,56,6,32,18,4334,4497,4733,42,6,8,18
WACH,Q,2944,1695,4030,53,0,13,30,2147,2907,2148,91,0,45,36
MELE,Q,2648,1071,4055,65,9,30,16,69,4042,63,47,0,9,18
NVLV,Q,4735,330,3019,47,6,25,6,2520,4036,988,25,0,15,0
INTH,Q,4143,930,1741,117,3,58,16,1529,1646,1288,110,0,60,30
CASJ,Q,3501,4765,192,94,0,54,30,2367,256,2035,52,0,12,20
NYLI,Q,884,1554,2875,59,0,15,24,1601,28,1607,37,0,21,6
CODE,Q,1977,4581,4386,52,0,24,18,1339,1584,159,56,0,12,24
MELE,Q,172,348,3525,92,3,49,30,3566,58,157,115,20,51,24
CASJ,Q,3598,840,973,126,0,72,24,2761,1700,100,32,0,0,12
WACH,Q,3131,2926,2130,118,23,49,36,4104,3831,2411,6,0,6,0
NVLV,Q,2403,1280,4782,6,0,6,0,3473,2034,3309,163,60,27,36
NYLI,Q,1803,4856,4006,18,0,0,18,271,1808,527,40,0,18,12
ABCA,Q,4001,4634,4719,39,0,21,18,288,4604,3278,33,3,2,8
INTH,Q,292,2202,4028,131,9,48,44,1038,4330,2360,44,0,6,18
MELE,Q,1073,319,4564,67,0,15,42,2200,3467,1153,113,3,70,30
CODE,Q,1619,2996,3013,106,0,36,30,1789,4072,3643,13,3,0,0
CASJ,Q,766,675,115,84,3,21,30,1868,692,846,60,0,48,12
NYLI,Q,2347,1751,871,38,0,10,8,3460,2869,358,70,0,20,0
WACH,Q,4742,3789,2374,55,0,15,0,3145,4131,2660,47,3,12,12
INTH,Q,3559,337,1720,61,6,39,6,4213,2171,4781,26,0,12,4
NVLV,Q,3011,25,3120,15,0,9,6,3965,585,2844,52,6,2,24
ABCA,Q,1691,216,3527,46,0,18,18,4633,4751,3354,6,3,3,0
CASJ,Q,2135,668,604,49,3,18,8,3022,4543,254,47,0,11,6
MELE,Q,4055,1831,3609,67,3,6,28,4041,1058,3585,25,0,3,12
CODE,Q,1348,1245,1011,63,0,19,24,662,2083,2275,1,0,1,0
INTH,Q,4008,3494,3201,34,0,18,6,4211,447,2909,55,0,27,18
NYLI,Q,263,2161,352,16,0,6,0,496,3137,2638,87,0,43,24
CASJ,Q,2854,3933,1967,59,0,21,18,971,581,118,133,0,75,38
NVLV,Q,2339,4403,4146,81,0,33,28,597,4183,3288,61,0,33,18
MELE,Q,3451,133,4555,118,26,12,30,181,2386,4793,48,0,6,22
ABCA,Q,4334,3278,1305,82,0,38,24,1334,4591,4733,92,0,44,18
WACH,Q,2733,4520,1899,26,3,17,6,4061,1983,4082,91,0,63,18
CODE,Q,4293,2261,4068,12,0,2,0,3807,2945,2036,15,0,3,12
INTH,Q,3186,279,868,111,0,63,18,2081,1288,930,72,3,29,30
CASJ,Q,3256,670,2813,79,6,39,24,4186,852,295,27,0,11,6
NYLI,Q,3171,1554,1230,32,0,8,4,884,3624,353,42,0,10,12
NVLV,Q,2984,3187,4800,93,0,33,40,1717,1165,4792,74,0,18,36
MELE,Q,4473,3566,172,48,0,8,20,1073,176,4042,48,0,36,12
CODE,Q,3729,2240,4723,11,0,5,6,1339,4387,3703,40,12,12,6
WACH,Q,3801,3513,2522,49,0,33,6,4125,3315,1696,28,0,6,12
CASJ,Q,100,841,649,65,0,9,36,751,1351,2035,39,6,5,18
ABCA,Q,4604,4751,4606,0,0,0,0,4719,771,4205,33,3,2,8
INTH,Q,4256,2481,2202,156,0,62,24,1094,1208,1741,122,0,68,24
MIBED,Q,326,4776,3357,71,6,9,36,308,815,4294,105,0,35,30
NYLI,Q,1607,810,569,10,0,0,0,1796,3950,1156,54,3,9,22
NVLV,Q,2375,2844,341,53,0,19,24,3716,3019,3510,27,3,14,0
MELE,Q,58,4564,1831,96,0,38,18,716,3467,157,158,0,80,48
CASJ,Q,3501,2915,1868,50,0,10,30,840,4255,4159,49,3,18,18
CODE,Q,1584,3884,4593,19,0,9,0,2996,1332,4499,115,3,44,48
MIBED,Q,3175,2337,3707,66,0,14,32,470,240,503,78,3,35,30
INTH,Q,1646,1038,234,120,0,60,30,3138,1501,3844,115,3,50,42
NYLI,Q,527,2487,369,59,0,9,30,329,4458,1808,47,0,13,24
WACH,Q,3789,4104,3693,35,3,4,18,2122,4030,4742,31,0,3,18
ILCH,Q,2039,2358,3646,32,0,2,30,111,4302,3940,122,0,38,34
CODE,Q,3013,1303,4386,41,0,9,12,1011,1157,1583,50,0,12,18
CASJ,Q,256,973,692,90,0,36,34,3995,2643,604,28,0,4,14
NVLV,Q,3366,3288,2403,116,0,44,52,2339,1280,4036,43,0,15,18
ABCA,Q,1772,1482,4001,123,0,57,36,4720,4497,4625,8,0,8,0
MIBED,Q,247,85,3770,97,0,21,36,469,4755,4398,98,0,74,24
ARFA,Q,4843,1764,1927,67,0,27,30,2461,4849,1477,83,0,43,30
CASJ,Q,118,1700,4765,81,0,57,24,1662,4047,766,81,3,60,8
WACH,Q,2944,4082,2471,43,0,3,30,3831,2660,3681,0,0,0,0
ILCH,Q,3135,2115,2709,26,3,7,6,2136,1625,71,98,0,48,30
CODE,Q,4550,4072,4388,52,0,6,6,1348,2259,1977,44,0,12,12
ABCA,Q,4634,4771,3527,4,3,1,0,244,4627,3354,22,3,1,18
NVLV,Q,4800,4366,987,124,0,70,34,597,4782,2037,3,3,0,0
MIBED,Q,3357,815,2246,61,3,18,20,2959,33,226,154,0,86,48
ARFA,Q,3284,1730,4490,74,3,21,30,4090,3612,3937,60,3,17,30
CASJ,Q,846,148,852,118,0,62,36,2761,3022,4186,5,3,2,0
CODE,Q,3807,701,3403,73,0,35,18,159,1361,1619,0,0,0,0
WACH,Q,4061,2733,2148,46,0,24,12,3968,3315,2926,22,3,3,6
ILCH,Q,1091,2512,3936,70,0,28,22,3695,2725,677,17,3,0,4
ARFA,Q,4037,16,2723,18,3,3,12,3507,3160,4553,94,0,26,28
MIBED,Q,4294,4776,904,131,20,37,24,4390,302,3302,85,0,27,48
ABCA,Q,4625,4633,288,18,0,0,8,4719,4497,1870,6,0,6,0
NVLV,Q,330,1165,2429,39,0,9,10,4276,3245,3011,44,0,8,26
CASJ,Q,2813,971,8,37,0,3,24,2085,2367,581,29,0,3,26
ILCH,Q,2194,4702,3061,40,3,27,0,1781,1850,2803,31,0,3,18
CODE,Q,1245,662,1789,21,0,3,8,2972,2275,2036,12,0,0,12
WACH,Q,1695,2147,4371,54,0,36,18,4513,4520,3513,15,3,8,4
MIBED,Q,308,4811,3707,52,0,24,18,4381,573,217,103,0,59,24
CASJ,Q,1967,4543,233,49,3,26,0,2473,1072,114,18,0,0,8
ABCA,Q,216,771,3354,55,3,20,12,4001,4720,4334,117,23,38,36
NVLV,Q,585,3120,3187,33,0,5,18,4146,2034,1661,66,0,30,36
ARFA,Q,2333,4532,4849,31,3,0,28,3942,1421,4487,76,0,40,6
ILCH,Q,4241,4676,2432,42,0,20,12,3110,2151,2338,56,3,21,22
CODE,Q,4293,4581,1410,46,0,30,6,3200,2169,2261,80,0,32,18
CASJ,Q,3598,115,3933,53,0,23,0,668,192,3256,9,0,9,0
MIBED,Q,66,313,3547,74,0,30,24,503,2337,1701,66,0,8,48
ILCH,Q,2022,1739,3067,38,0,16,12,2010,3197,2905,44,3,3,18
ABCA,Q,4606,1870,288,21,3,0,8,4604,4771,244,21,0,5,6
ARFA,Q,4577,4535,1927,29,6,11,12,4848,3593,456,58,0,22,36
NVLV,Q,60,4735,3309,44,0,2,12,3473,1717,1780,80,0,44,36
WACH,Q,1899,2374,4125,98,20,24,24,2130,1595,2411,36,0,12,24
CASJ,Q,675,4171,2144,28,0,12,6,2135,2854,670,85,0,45,30
MIBED,Q,1250,1684,910,122,0,60,42,3536,240,1023,29,0,11,18
ILCH,Q,4292,3488,2451,81,0,37,24,4081,3352,4645,22,0,0,12
CODE,Q,1799,3648,3643,13,0,3,0,2083,4068,2945,10,0,0,0
ABCA,Q,1691,4205,4627,10,0,0,0,1772,4733,4591,21,3,6,12
ARFA,Q,3612,2461,4463,17,0,5,12,3847,1810,2410,88,23,33,22
WACH,Q,2990,1696,3801,50,23,9,18,2522,1983,4131,29,0,19,0
NVLV,Q,1631,2520,4403,9,0,3,6,1703,2984,3510,37,3,6,18
MIBED,Q,226,4811,326,100,0,66,24,904,2246,4395,48,0,16,12
ILCH,Q,3940,2803,3390,4,0,0,4,1625,1091,4324,45,0,25,0
CASJ,Q,254,295,2489,133,0,69,44,1388,3482,649,9,0,9,0
ARFA,Q,4490,3528,4745,53,0,23,30,2164,1939,1912,71,6,33,12
CODE,Q,4593,1332,1619,21,3,6,12,4386,2240,2259,29,3,0,6
WACH,Q,2907,3693,3243,64,0,36,18,3131,3145,3663,66,0,38,18
ABCA,Q,1334,1305,4634,118,9,33,36,4751,3278,3527,10,0,0,0
ILCH,Q,111,3135,2338,147,23,48,36,3177,2725,3936,18,0,2,6
ARFA,Q,2080,1723,1764,50,6,10,4,3784,4843,3937,103,3,38,42
CODE,Q,1789,3884,3807,18,3,3,12,1348,4550,4723,10,0,0,0
NVLV,Q,988,3965,25,61,0,17,14,4792,4183,3009,65,0,23,12
NYLI,Q,1203,4006,496,31,0,21,0,2872,870,1751,39,0,11,18
ILCH,Q,71,677,2512,157,0,93,24,2358,2194,2022,32,6,4,12
ABCA,Q,4334,216,1482,121,29,50,42,4771,288,771,1,0,1,0
MIBED,Q,3770,3357,3547,58,0,24,24,4381,3302,815,41,0,5,16
ARFA,Q,2333,3612,1477,158,0,78,60,4090,4577,4477,0,0,0,0
CODE,Q,4293,4388,2972,43,0,11,12,1339,1157,701,65,0,15,30
NYLI,Q,2027,358,352,20,0,0,0,263,533,1546,58,0,16,22
ILCH,Q,3197,1850,2709,28,0,0,18,4551,2451,4096,109,3,54,32
ARFA,Q,3284,4848,4487,54,0,26,18,3847,1912,2461,139,29,42,38
ABCA,Q,1870,4634,4720,3,3,0,0,4591,4606,1691,3,3,0,0
CODE,Q,4387,2945,1410,18,0,0,18,3013,1245,2083,29,3,0,6
NYLI,Q,601,2638,2869,56,0,18,18,514,4567,2875,98,0,52,36
MIBED,Q,308,3536,2337,20,0,2,18,1250,247,1023,141,23,44,54
ILCH,Q,3695,4292,2432,26,0,12,4,2704,3061,1739,57,0,27,30
INTH,Q,4329,1018,2360,68,0,28,30,1720,4211,4330,65,0,31,24
ARFA,Q,3160,4843,1723,40,0,12,18,4463,1421,3784,92,15,25,12
ABCA,Q,4205,4497,4001,96,0,36,30,1334,1482,4627,117,9,44,24
CODE,Q,1977,1361,2996,113,0,75,18,1799,1583,2275,10,0,0,0
ILCH,Q,1675,4324,2905,18,6,0,12,4241,3488,3352,34,0,4,0
MIBED,Q,1701,33,910,114,0,50,54,4390,85,470,70,0,16,24
MELE,Q,3609,2200,4546,58,0,18,10,1058,2648,1153,139,20,67,42
NYLI,Q,4856,1537,3460,30,0,0,0,545,1601,2161,36,0,6,20
ARFA,Q,4037,4490,4849,28,3,7,8,3528,4477,1477,99,0,59,30
CODE,Q,4499,3703,1303,15,0,5,0,4581,662,2261,20,0,0,0
ILCH,Q,2151,4702,3646,3,0,3,0,3110,3390,2115,15,0,5,0
MIBED,Q,66,4776,217,74,0,36,18,1684,3175,2959,66,0,38,18
NYLI,Q,271,564,3137,34,0,12,12,1468,871,28,54,0,6,18
MELE,Q,3597,3525,1922,50,0,18,12,1071,319,3585,93,40,19,24
INTH,Q,48,2909,337,30,3,21,6,3559,4272,4143,53,3,20,0
ABCA,Q,3278,4633,1772,46,23,7,6,1305,4719,4604,0,0,0,0
ILCH,Q,1781,101,3067,69,0,37,12,648,4081,4302,62,6,12,24
CODE,Q,3643,1011,3200,13,0,3,0,1584,3403,3648,43,0,23,0
NYLI,Q,1156,810,2347,18,0,4,4,352,369,1803,44,0,0,24
ARFA,Q,2080,2410,3937,68,6,26,16,456,4532,4553,61,0,13,28
MELE,Q,78,63,348,65,9,34,12,125,3930,69,95,0,33,42
MIBED,Q,4294,4755,3707,66,0,26,0,326,573,4395,95,3,46,36
ABCA,Q,4751,244,4733,9,3,0,6,4625,3527,3354,1,0,1,0
ILCH,Q,2010,4645,4676,13,3,10,0,4787,2781,2039,12,0,2,0
INTH,Q,3266,1756,4781,39,0,9,30,4028,4008,3947,103,9,66,18
MELE,Q,2648,58,176,129,0,73,36,181,133,1831,40,3,9,18
NYLI,Q,496,4567,4458,42,0,30,12,4006,1230,358,66,0,26,10
CODE,Q,4068,2036,2169,65,0,39,6,4072,3729,159,0,0,0,0
ARFA,Q,3593,1927,3507,85,0,27,48,2164,1810,1730,41,3,0,18
ILCH,Q,2704,2451,3197,18,0,8,0,111,1091,2136,81,0,39,22
INTH,Q,1024,292,4213,96,0,30,36,2171,3201,1529,37,0,19,8
MIBED,Q,313,503,469,141,20,67,54,302,240,4398,50,0,38,12
MELE,Q,3597,1058,4042,42,6,18,18,3585,4473,3525,42,0,16,6
ARFA,Q,2723,3942,4745,0,0,0,0,4535,16,1764,97,3,60,24
NYLI,Q,2487,2161,1537,16,0,6,0,3950,1554,1751,66,60,2,4
INTH,Q,447,3494,931,91,0,41,30,1706,3492,4690,94,3,57,24
ILCH,Q,2803,2358,4241,24,0,2,12,3390,3352,3695,8,0,0,8
NYLI,Q,533,28,3460,142,23,39,30,545,4856,514,38,6,12,0
MELE,Q,4055,172,3467,75,6,23,6,4546,4793,319,53,0,13,10
ARFA,Q,4487,3612,1723,43,0,3,0,2410,1477,1939,135,3,66,36
INTH,Q,4211,1288,4058,61,0,43,18,234,2081,4103,83,0,45,18
ILCH,Q,2194,3646,3488,13,0,3,0,3936,4096,1739,59,18,13,8
MELE,Q,157,2200,3451,16,3,13,0,3609,4564,78,92,40,20,12
NYLI,Q,1546,1803,1203,28,0,6,12,3624,1601,2027,33,0,1,2
INTH,Q,1038,4329,337,41,3,12,6,3559,1756,930,137,9,66,42
ARFA,Q,1810,2461,2333,50,0,30,0,4577,3937,3528,81,0,53,18
NYLI,Q,564,2347,569,6,0,0,6,3171,271,601,38,20,6,2
MELE,Q,716,2386,3930,44,0,16,18,4041,1922,3566,39,0,15,24
INTH,Q,1646,4143,4008,23,3,0,10,279,292,1720,53,12,37,4
